Date,Open,High,Low,Close,Adj Close,Volume
2019-02-11,2.280000,2.290000,2.220000,2.220000,2.220000,9000
2019-02-12,2.296000,2.296000,2.200000,2.230000,2.230000,5200
2019-02-13,2.260000,2.320000,2.120000,2.320000,2.320000,52600
2019-02-14,2.203000,2.250000,2.190000,2.200000,2.200000,38800
2019-02-15,2.150000,2.150000,1.630000,2.030000,2.030000,185700
2019-02-19,2.100000,2.120000,2.031000,2.080000,2.080000,39800
2019-02-20,2.089000,2.100000,2.038000,2.060000,2.060000,7900
2019-02-21,2.050000,2.050000,2.035000,2.050000,2.050000,5300
2019-02-22,2.060000,2.100000,2.040000,2.100000,2.100000,28200
2019-02-25,2.120000,2.120000,2.050000,2.090000,2.090000,38800
2019-02-26,2.060000,2.070000,2.040000,2.040000,2.040000,12100
2019-02-27,2.050000,2.050000,1.970000,2.040000,2.040000,22900
2019-02-28,2.070000,2.090000,2.000000,2.090000,2.090000,24900
2019-03-01,2.090000,2.100000,2.030000,2.050000,2.050000,38200
2019-03-04,2.100000,2.120000,2.080000,2.100000,2.100000,68000
2019-03-05,2.100000,2.100000,2.060000,2.060000,2.060000,44300
2019-03-06,2.080000,2.097000,1.930000,2.060000,2.060000,23000
2019-03-07,2.060000,2.060000,1.990000,1.990000,1.990000,13800
2019-03-08,2.010000,2.050000,1.940000,2.000000,2.000000,11200
