time,open,high,low,close,vol,%,id,timestamp,"Vol (20)","Vol (20)","MACD","MACD","MACD","MACD"
725898600,43.9688,43.96899,43.75,43.938,1003200,None,0,1993-01-01 14:30:00,1003200,None,None,3,None,None
728577000,43.96875,45.125,42.8125,44.40625,5417600,1.07,1,1993-02-01 14:30:00,5417600,None,None,3,None,None
730996200,44.5625,45.84375,44.21875,45.1875,3019200,1.76,2,1993-03-01 14:30:00,3019200,None,None,3,None,None
733674600,45.25,45.25,43.28125,44.03125,2697200,-2.56,3,1993-04-01 14:30:00,2697200,None,None,3,None,None
736435800,44.09375,45.65625,43.84375,45.21875,1808000,2.7,4,1993-05-03 13:30:00,1808000,None,None,3,None,None
738941400,45.375,45.8125,44.21875,45.0625,3438000,-0.35,5,1993-06-01 13:30:00,3438000,None,None,3,None,None
741533400,45.125,45.21875,44.15625,44.84375,6117600,-0.49,6,1993-07-01 13:30:00,6117600,None,None,3,None,None
744298200,44.90625,46.5625,44.84375,46.5625,5440100,3.83,7,1993-08-02 13:30:00,5440100,None,None,3,None,None
746890200,46.40625,46.59375,44.8125,45.9375,4369900,-1.34,8,1993-09-01 13:30:00,4369900,None,None,3,None,None
749482200,45.875,47.15625,45.71875,46.84375,6972900,1.97,9,1993-10-01 13:30:00,6972900,None,None,3,None,None
752164200,46.78125,47,45.53125,46.34375,5351100,-1.07,10,1993-11-01 14:30:00,5351100,None,None,3,None,None
754756200,46.59375,47.15625,46.375,46.59375,6128000,0.54,11,1993-12-01 14:30:00,6128000,None,None,3,None,None
757607400,46.59375,48.3125,46.40625,48.21875,6837100,3.49,12,1994-01-03 14:30:00,6837100,None,None,3,None,None
760113000,48.15625,48.28125,46.5625,46.8125,10974400,-2.92,13,1994-02-01 14:30:00,10974400,None,None,3,None,None
762532200,46.8125,47.3125,43.53125,44.59375,14705500,-4.74,14,1994-03-01 14:30:00,14705500,None,None,3,None,None
765210600,43.34375,45.35937,43.34375,45.09375,11429000,1.12,15,1994-04-01 14:30:00,11429000,None,None,3,None,None
767885400,45.09375,45.9375,44.17187,45.8125,8545100,1.59,16,1994-05-02 13:30:00,8545100,None,None,3,None,None
770477400,45.70312,46.5625,44,44.46875,10352701,-2.93,17,1994-06-01 13:30:00,10352701,None,None,3,None,None
773069400,44.6875,46.04687,44.375,45.90625,5452100,3.23,18,1994-07-01 13:30:00,5452100,None,None,3,None,None
775747800,45.9375,47.98437,45.65625,47.65625,7945800,3.81,19,1994-08-01 13:30:00,7945800,6400225.05,None,3,None,None
778426200,47.5,47.71875,45.73437,46.17187,6309300,-3.11,20,1994-09-01 13:30:00,6309300,6665530.05,None,3,None,None
781191000,46.20312,47.70312,45,47.48437,5437600,2.84,21,1994-10-03 13:30:00,5437600,6666530.05,None,3,None,None
783700200,47.28125,47.32812,44.60937,45.59375,4807300,-3.98,22,1994-11-01 14:30:00,4807300,6755935.05,None,3,None,None
786292200,45.64062,46.40625,44.6875,45.5625,8568500,-0.07,23,1994-12-01 14:30:00,8568500,7049500.05,None,3,None,None
789057000,45.70312,47.23437,45.6875,47.09375,2768000,3.36,24,1995-01-02 14:30:00,2768000,7097500.05,None,3,None,None
791649000,47.15625,49.15625,47,49.01562,5954800,4.08,25,1995-02-01 14:30:00,5954800,7223340.05,None,3,0.6675651989199807,None
794068200,48.96875,50.89062,48.21875,50.10937,4533300,2.23,26,1995-03-01 14:30:00,4533300,7144125.05,None,3,0.8974204192483128,None
796915800,50.09375,51.67187,50.0625,51.59375,4388700,2.96,27,1995-04-03 13:30:00,4388700,7091555.05,None,3,1.1856914845283697,None
799335000,51.54687,53.64062,51.39062,53.64062,6986200,3.97,28,1995-05-01 13:30:00,6986200,7222370.05,None,3,1.5613158065052914,None
802013400,53.40625,55.15625,52.75,54.40625,5790900,1.43,29,1995-06-01 13:30:00,5790900,7163270.05,None,3,1.8988914911709074,None
804778200,54.46875,56.70312,54.20312,56.15625,5508200,3.22,30,1995-07-03 13:30:00,5508200,7171125.05,None,3,2.2813352157246456,None
807283800,56.23437,56.79687,55.42187,56.40625,8100100,0.45,31,1995-08-01 13:30:00,8100100,7269730.05,None,3,2.5749155102812864,None
809962200,56.39062,58.90625,56.34375,58.48437,7431600,3.68,32,1995-09-01 13:30:00,7431600,7299455.05,None,3,2.941360749489121,None
812640600,58.48437,59.1875,57.26562,58.3125,8944800,-0.29,33,1995-10-02 13:30:00,8944800,7197975.05,1.2712618025987288,1,3.1812315124070594,1.9099697098083306
815236200,58.28125,61.20312,58.23437,60.90625,8841700,4.45,34,1995-11-01 14:30:00,8841700,6904785.05,1.3038801742791115,0,3.53981992765722,2.2359397533781085
817828200,60.98437,62.79687,60.57812,61.48437,9816800,0.95,35,1995-12-01 14:30:00,9816800,6824175.05,1.2724828163079933,1,3.8265432737631,2.554060457455107
820506600,61.40625,63.6875,59.64062,63.67187,10661300,3.56,36,1996-01-01 14:30:00,10661300,6929985.05,1.3024141666283082,0,4.182078165740492,2.879663999112184
823185000,63.60937,66.6875,63.4375,63.875,14850400,0.32,37,1996-02-01 14:30:00,14850400,7154870,1.2396097894412703,1,4.429176235913772,3.1895664464725018
825690600,64.64062,66,62,64.6875,19022900,1.27,38,1996-03-01 14:30:00,19022900,7833410,1.1580360124168316,1,4.637111461993541,3.4790754495767096
828369000,65,65.8125,62.125,65.39062,14999300,1.09,39,1996-04-01 14:30:00,14999300,8186085,1.059354396996624,1,4.803268445822489,3.7439140488258653
830957400,65.375,68.4375,63.07812,66.875,17453200,2.27,40,1996-05-01 13:30:00,17453200,8743280,1.0025666783258935,1,4.997122396733232,3.9945557184073386
833808600,66.89062,68.5,66.15625,67.10937,16871800,0.35,41,1996-06-03 13:30:00,16871800,9314990,0.8929563783610455,1,5.110751191358645,4.2177948129975995
836227800,67.28125,67.70312,60.375,64.09375,28834400,-4.49,42,1996-07-01 13:30:00,28834400,10516345,0.546541863387537,1,4.900972142232021,4.354430278844484
838906200,64.15625,67.34375,64.0625,65.32812,15593100,1.93,43,1996-08-01 13:30:00,15593100,10867575,0.33984142899208614,1,4.779232065084592,4.439390636092506
841671000,64.46875,69.25,64.375,68.625,17216100,5.05,44,1996-09-02 13:30:00,17216100,11589980,0.36239665435974633,0,4.892386454042189,4.5299897996824425
